"Player" "Run" "BF" "X4s" "X6s" "SR"
"A M Rahane" 19 24 3 0 79.17
"A M Rahane" 33 28 6 0 117.86
"A M Rahane" 14 34 2 0 41.18
"A M Rahane" 79 60 7 3 131.67
"A M Rahane" 0 1 0 0 0
"A M Rahane" 73 101 3 1 72.28
"A M Rahane" 28 50 2 0 56
"A M Rahane" 33 40 1 1 82.5
"A M Rahane" 12 22 2 0 54.55
"A M Rahane" 2 10 0 0 20
"A M Rahane" 28 24 6 0 116.67
"A M Rahane" 31 47 5 0 65.96
"A M Rahane" 8 19 1 0 42.11
"A M Rahane" 111 108 13 2 102.78
"A M Rahane" 68 79 7 0 86.08
"A M Rahane" 12 28 1 0 42.86
"A M Rahane" 24 22 4 0 109.09
"A M Rahane" 0 3 0 0 0
"A M Rahane" 106 100 10 4 106
"A M Rahane" 45 56 6 1 80.36
"A M Rahane" 23 50 3 0 46
"A M Rahane" 22 27 1 0 81.48
"A M Rahane" 73 83 7 1 87.95
"A M Rahane" 2 10 0 0 20
"A M Rahane" 3 8 0 0 37.5
"A M Rahane" 3 14 0 0 21.43
"A M Rahane" 36 42 4 0 85.71
"A M Rahane" 7 13 0 0 53.85
"A T Rayudu" 12 17 1 0 70.59
"A T Rayudu" 23 24 2 1 95.83
"A T Rayudu" 23 53 2 0 43.4
"A T Rayudu" 59 69 8 1 85.51
"A T Rayudu" 8 19 0 0 42.11
"A T Rayudu" 35 46 3 0 76.09
"A T Rayudu" 121 118 10 4 102.54
"A T Rayudu" 27 20 3 0 135
"A T Rayudu" 12 7 0 1 171.43
"A T Rayudu" 32 54 3 0 59.26
"A T Rayudu" 13 21 1 0 61.9
"A T Rayudu" 53 65 3 2 81.54
"A T Rayudu" 64 78 6 0 82.05
"A T Rayudu" 58 62 4 1 93.55
"A T Rayudu" 18 23 1 0 78.26
"A T Rayudu" 9 15 0 0 60
"A T Rayudu" 20 40 2 0 50
"A T Rayudu" 37 58 3 2 63.79
"B Kumar" 5 5 0 0 100
"B Kumar" 0 1 0 0 0
"B Kumar" 18 14 1 0 128.57
"B Kumar" 2 10 0 0 20
"B Kumar" 1 3 0 0 33.33
"B Kumar" 0 0 0 0 0
"B Kumar" 20 25 1 0 80
"B Kumar" 4 3 1 0 133.33
"B Kumar" 11 6 2 0 183.33
"B Kumar" 6 4 1 0 150
"B Kumar" 0 4 0 0 0
"B Kumar" 1 1 0 0 100
"B Kumar" 10 18 1 0 55.56
"B Kumar" 18 27 1 0 66.67
"M S Dhoni" 85 76 8 2 111.84
"M S Dhoni" 45 56 3 1 80.36
"M S Dhoni" 18 11 3 0 163.64
"M S Dhoni" 18 13 1 1 138.46
"M S Dhoni" 17 32 3 0 53.13
"M S Dhoni" 34 61 1 0 55.74
"M S Dhoni" 19 31 2 0 61.29
"M S Dhoni" 6 5 0 0 120
"M S Dhoni" 51 40 5 1 127.5
"M S Dhoni" 8 21 0 0 38.1
"M S Dhoni" 29 42 1 1 69.05
"M S Dhoni" 47 72 3 0 65.28
"M S Dhoni" 79 73 6 3 108.22
"M S Dhoni" 50 60 2 3 83.33
"M S Dhoni" 56 44 7 1 127.27
"M S Dhoni" 40 46 2 2 86.96
"M S Dhoni" 65 71 8 1 91.55
"M S Dhoni" 23 23 3 0 100
"M S Dhoni" 51 40 3 4 127.5
"M S Dhoni" 13 7 3 0 185.71
"M S Dhoni" 25 23 2 0 108.7
"M S Dhoni" 25 23 2 0 108.7
"M S Dhoni" 139 121 12 5 114.88
"M S Dhoni" 19 22 2 0 86.36
"Mohammed Shami" 4 5 1 0 80
"Mohammed Shami" 3 3 0 0 100
"Mohammed Shami" 25 18 3 1 138.89
"Mohammed Shami" 1 7 0 0 14.29
"Mohammed Shami" 2 3 0 0 66.67
"Mohammed Shami" 1 1 0 0 100
"Mohammed Shami" 19 17 2 1 111.76
"Mohammed Shami" 0 2 0 0 0
"Mohammed Shami" 0 3 0 0 0
"Mohammed Shami" 14 7 0 2 200
"Mohammed Shami" 14 15 0 1 93.33
"Mohammed Shami" 2 7 0 0 28.57
"Mohammed Shami" 1 1 0 0 100
"Mohammed Shami" 7 4 1 0 175
"Mohammed Shami" 0 4 0 0 0
"R A Jadeja" 13 23 2 0 56.52
"R A Jadeja" 2 4 0 0 50
"R A Jadeja" 3 5 0 0 60
"R A Jadeja" 5 9 0 0 55.56
"R A Jadeja" 1 1 0 0 100
"R A Jadeja" 2 2 0 0 100
"R A Jadeja" 6 16 0 0 37.5
"R A Jadeja" 33 36 2 1 91.67
"R A Jadeja" 87 68 9 2 127.94
"R A Jadeja" 12 9 1 0 133.33
"R A Jadeja" 52 49 4 2 106.12
"R A Jadeja" 22 27 0 1 81.48
"R A Jadeja" 5 6 1 0 83.33
"R A Jadeja" 62 54 8 2 114.81
"R A Jadeja" 66 45 5 4 146.67
"R A Jadeja" 12 8 0 1 150
"R A Jadeja" 0 3 0 0 0
"R A Jadeja" 29 30 6 0 96.67
"R A Jadeja" 2 11 0 0 18.18
"R A Jadeja" 10 20 0 0 50
"R A Jadeja" 2 4 0 0 50
"R A Jadeja" 11 18 1 0 61.11
"R Ashwin" 16 32 0 0 50
"R Ashwin" 5 5 0 0 100
"R Ashwin" 1 1 0 0 100
"R Ashwin" 14 20 0 0 70
"R Ashwin" 0 1 0 0 0
"R Ashwin" 16 19 1 0 84.21
"R Ashwin" 9 7 2 0 128.57
"R Ashwin" 18 16 2 0 112.5
"R Ashwin" 7 11 1 0 63.64
"R Ashwin" 5 3 1 0 166.67
"R Ashwin" 65 46 8 1 141.3
"R Ashwin" 5 4 1 0 125
"R Ashwin" 12 10 0 1 120
"R Ashwin" 19 19 4 0 100
"R Ashwin" 19 10 2 1 190
"R Ashwin" 28 35 3 0 80
"R Ashwin" 5 10 0 0 50
"R G Sharma" 16 21 2 0 76.19
"R G Sharma" 64 66 3 3 96.97
"R G Sharma" 7 18 1 0 38.89
"R G Sharma" 57 55 10 1 103.64
"R G Sharma" 0 6 0 0 0
"R G Sharma" 15 20 2 0 75
"R G Sharma" 138 139 9 4 99.28
"R G Sharma" 9 12 2 0 75
"R G Sharma" 264 173 33 9 152.6
"R G Sharma" 56 58 7 2 96.55
"R G Sharma" 13 28 1 0 46.43
"R G Sharma" 21 29 1 1 72.41
"R G Sharma" 4 13 0 0 30.77
"R G Sharma" 79 94 6 4 84.04
"R G Sharma" 39 38 1 4 102.63
"R G Sharma" 20 34 2 1 58.82
"R G Sharma" 3 23 0 0 13.04
"R G Sharma" 18 43 2 0 41.86
"R G Sharma" 4 14 0 0 28.57
"R G Sharma" 12 19 3 0 63.16
"R G Sharma" 72 81 8 1 88.89
"R G Sharma" 79 89 7 3 88.76
"R G Sharma" 79 89 7 3 88.76
"R G Sharma" 11 22 2 0 50
"R G Sharma" 141 123 17 4 114.63
"R G Sharma" 42 47 6 0 89.36
"S Dhawan" 4 20 1 0 20
"S Dhawan" 100 85 11 5 117.65
"S Dhawan" 9 14 1 0 64.29
"S Dhawan" 14 17 3 0 82.35
"S Dhawan" 137 146 16 2 93.84
"S Dhawan" 73 76 7 1 96.05
"S Dhawan" 38 65 4 0 58.46
"S Dhawan" 8 13 0 0 61.54
"S Dhawan" 1 5 0 0 20
"S Dhawan" 2 4 0 0 50
"S Dhawan" 91 79 8 1 115.19
"S Dhawan" 79 80 7 1 98.75
"S Dhawan" 113 107 14 3 105.61
"S Dhawan" 35 35 6 1 100
"S Dhawan" 1 9 0 0 11.11
"S Dhawan" 68 92 9 0 73.91
"S Dhawan" 31 44 4 1 70.45
"S Dhawan" 97 81 11 4 119.75
"S Dhawan" 16 23 1 0 69.57
"S Dhawan" 10 13 2 0 76.92
"S Dhawan" 94 114 7 1 82.46
"S Dhawan" 28 44 5 0 63.64
"S Dhawan" 9 28 1 0 32.14
"S Dhawan" 28 25 4 1 112
"S Dhawan" 12 22 2 0 54.55
"S Dhawan" 32 46 3 0 69.57
"S Dhawan" 12 13 3 0 92.31
"S Dhawan" 119 95 20 0 125.26
"S Dhawan" 35 37 5 0 94.59
"S Dhawan" 5 6 1 0 83.33
"S Dhawan" 100 102 11 0 98.04
"S Dhawan" 100 102 11 0 98.04
"S Dhawan" 8 6 2 0 133.33
"S Dhawan" 95 86 14 0 110.47
"S Dhawan" 7 15 1 0 46.67
"S K Raina" 110 104 9 4 105.77
"S K Raina" 22 25 2 0 88
"S K Raina" 6 5 1 0 120
"S K Raina" 74 56 5 3 132.14
"S K Raina" 1 5 0 0 20
"S K Raina" 1 3 0 0 33.33
"S K Raina" 51 63 6 0 80.95
"S K Raina" 11 5 1 1 220
"S K Raina" 18 23 0 1 78.26
"S K Raina" 14 6 1 1 233.33
"S K Raina" 52 34 4 3 152.94
"S K Raina" 71 58 3 5 122.41
