,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
0,RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",T20
1,Kings XI,Super Kings,Super Kings,33 runs,Mohali,"Apr 19, 2008",T20
2,Daredevils,Royals,Daredevils,9 wickets,Delhi,"Apr 19, 2008",T20
3,KKR,Chargers,KKR,5 wickets,Kolkata,"Apr 20, 2008",T20
4,Mum Indians,RCB,RCB,5 wickets,Mumbai,"Apr 20, 2008",T20
5,Royals,Kings XI,Royals,6 wickets,Jaipur,"Apr 21, 2008",T20
6,Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"Apr 22, 2008",T20
7,Super Kings,Mum Indians,Super Kings,6 runs,Chennai,"Apr 23, 2008",T20
8,Chargers,Royals,Royals,3 wickets,Hyderabad (Deccan),"Apr 24, 2008",T20
9,Kings XI,Mum Indians,Kings XI,66 runs,Mohali,"Apr 25, 2008",T20
10,Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 26, 2008",T20
11,RCB,Royals,Royals,7 wickets,Bengaluru,"Apr 26, 2008",T20
12,Kings XI,Daredevils,Kings XI,4 wickets,Mohali,"Apr 27, 2008",T20
13,Mum Indians,Chargers,Chargers,10 wickets,Mumbai,"Apr 27, 2008",T20
14,RCB,Super Kings,Super Kings,13 runs,Bengaluru,"Apr 28, 2008",T20
15,KKR,Mum Indians,Mum Indians,7 wickets,Kolkata,"Apr 29, 2008",T20
16,Daredevils,RCB,Daredevils,10 runs,Delhi,"Apr 30, 2008",T20
17,Royals,KKR,Royals,45 runs,Jaipur,"May 1, 2008",T20
18,Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),"May 1, 2008",T20
19,Super Kings,Daredevils,Daredevils,8 wickets,Chennai,"May 2, 2008",T20
20,RCB,Chargers,RCB,3 runs,Bengaluru,"May 3, 2008",T20
21,Kings XI,KKR,Kings XI,9 runs,Mohali,"May 3, 2008",T20
22,Mum Indians,Daredevils,Mum Indians,29 runs,Mumbai,"May 4, 2008",T20
23,Royals,Super Kings,Royals,8 wickets,Jaipur,"May 4, 2008",T20
24,RCB,Kings XI,Kings XI,6 wickets,Bengaluru,"May 5, 2008",T20
25,Super Kings,Chargers,Chargers,7 wickets,Chennai,"May 6, 2008",T20
26,Mum Indians,Royals,Mum Indians,7 wickets,Mumbai,"May 7, 2008",T20
27,Daredevils,Super Kings,Super Kings,4 wickets,Delhi,"May 8, 2008",T20
28,KKR,RCB,KKR,5 runs,Kolkata,"May 8, 2008",T20
29,Royals,Chargers,Royals,8 wickets,Jaipur,"May 9, 2008",T20
30,Super Kings,Kings XI,Super Kings,18 runs,Chennai,"May 10, 2008",T20
31,Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),"May 11, 2008",T20
32,Royals,Daredevils,Royals,3 wickets,Jaipur,"May 11, 2008",T20
33,Kings XI,RCB,Kings XI,9 wickets,Mohali,"May 12, 2008",T20
34,KKR,Daredevils,KKR,23 runs,Kolkata,"May 13, 2008",T20
35,Mum Indians,Super Kings,Mum Indians,9 wickets,Mumbai,"May 14, 2008",T20
36,Daredevils,Chargers,Daredevils,12 runs,Delhi,"May 15, 2008",T20
37,Mum Indians,KKR,Mum Indians,8 wickets,Mumbai,"May 16, 2008",T20
38,Royals,RCB,Royals,65 runs,Jaipur,"May 17, 2008",T20
39,Daredevils,Kings XI,Kings XI,6 runs,Delhi,"May 17, 2008",T20
40,KKR,Super Kings,Super Kings,3 runs,Kolkata,"May 18, 2008",T20
41,Chargers,Mum Indians,Mum Indians,25 runs,Hyderabad (Deccan),"May 18, 2008",T20
42,RCB,Daredevils,Daredevils,5 wickets,Bengaluru,"May 19, 2008",T20
43,KKR,Royals,Royals,6 wickets,Kolkata,"May 20, 2008",T20
44,Mum Indians,Kings XI,Kings XI,1 run,Mumbai,"May 21, 2008",T20
45,Super Kings,RCB,RCB,14 runs,Chennai,"May 21, 2008",T20
46,Daredevils,KKR,abandoned,,Delhi,"May 22, 2008",T20
47,Kings XI,Chargers,Kings XI,6 wickets,Mohali,"May 23, 2008",T20
48,Super Kings,Royals,Royals,10 runs,Chennai,"May 24, 2008",T20
49,Daredevils,Mum Indians,Daredevils,5 wickets,Delhi,"May 24, 2008",T20
50,Chargers,RCB,RCB,5 wickets,Hyderabad (Deccan),"May 25, 2008",T20
51,KKR,Kings XI,KKR,3 wickets,Kolkata,"May 25, 2008",T20
52,Royals,Mum Indians,Royals,5 wickets,Jaipur,"May 26, 2008",T20
53,Chargers,Super Kings,Super Kings,7 wickets,Hyderabad (Deccan),"May 27, 2008",T20
54,RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"May 28, 2008",T20
55,Kings XI,Royals,Kings XI,41 runs,Mohali,"May 28, 2008",T20
56,Daredevils,Royals,Royals,105 runs,Mumbai,"May 30, 2008",T20
57,Super Kings,Kings XI,Super Kings,9 wickets,Mumbai,"May 31, 2008",T20
58,Super Kings,Royals,Royals,3 wickets,Mumbai,"Jun 1, 2008",T20
59,Super Kings,Mum Indians,Mum Indians,19 runs,Cape Town,"Apr 18, 2009",T20
60,RCB,Royals,RCB,75 runs,Cape Town,"Apr 18, 2009",T20
61,Daredevils,Kings XI,Daredevils,10 wickets,Cape Town,"Apr 19, 2009",T20
62,Chargers,KKR,Chargers,8 wickets,Cape Town,"Apr 19, 2009",T20
63,RCB,Super Kings,Super Kings,92 runs,Port Elizabeth,"Apr 20, 2009",T20
64,Kings XI,KKR,KKR,11 runs,Durban,"Apr 21, 2009",T20
65,Mum Indians,Royals,abandoned,,Durban,"Apr 21, 2009",T20
66,RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",T20
67,Super Kings,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",T20
68,KKR,Royals,tied,,Cape Town,"Apr 23, 2009",T20
69,RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",T20
70,Chargers,Mum Indians,Chargers,12 runs,Durban,"Apr 25, 2009",T20
71,Super Kings,KKR,abandoned,,Cape Town,"Apr 25, 2009",T20
72,RCB,Daredevils,Daredevils,6 wickets,Port Elizabeth,"Apr 26, 2009",T20
73,Kings XI,Royals,Kings XI,27 runs,Cape Town,"Apr 26, 2009",T20
74,Super Kings,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",T20
75,KKR,Mum Indians,Mum Indians,92 runs,Port Elizabeth,"Apr 27, 2009",T20
76,Daredevils,Royals,Royals,5 wickets,Centurion,"Apr 28, 2009",T20
77,RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",T20
78,Kings XI,Mum Indians,Kings XI,3 runs,Durban,"Apr 29, 2009",T20
79,Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",T20
80,Super Kings,Royals,Super Kings,38 runs,Centurion,"Apr 30, 2009",T20
81,KKR,Mum Indians,Mum Indians,9 runs,East London,"May 1, 2009",T20
82,RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",T20
83,Chargers,Royals,Royals,3 wickets,Port Elizabeth,"May 2, 2009",T20
84,Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,"May 2, 2009",T20
85,Kings XI,KKR,Kings XI,6 wickets,Port Elizabeth,"May 3, 2009",T20
86,RCB,Mum Indians,RCB,9 wickets,Johannesburg,"May 3, 2009",T20
87,Super Kings,Chargers,Super Kings,78 runs,East London,"May 4, 2009",T20
88,Kings XI,Royals,Royals,78 runs,Durban,"May 5, 2009",T20
89,Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",T20
90,Chargers,Mum Indians,Chargers,19 runs,Centurion,"May 6, 2009",T20
91,RCB,Royals,Royals,7 wickets,Centurion,"May 7, 2009",T20
92,Super Kings,Kings XI,Super Kings,12 runs,Centurion,"May 7, 2009",T20
93,Daredevils,Mum Indians,Daredevils,7 wickets,East London,"May 8, 2009",T20
94,Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",T20
95,Super Kings,Royals,Super Kings,7 wickets,Kimberley,"May 9, 2009",T20
96,RCB,Mum Indians,Mum Indians,16 runs,Port Elizabeth,"May 10, 2009",T20
97,Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",T20
98,Chargers,Royals,Chargers,53 runs,Kimberley,"May 11, 2009",T20
99,RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",T20
100,Kings XI,Mum Indians,Mum Indians,8 wickets,Centurion,"May 12, 2009",T20
101,Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",T20
102,RCB,Super Kings,RCB,2 wickets,Durban,"May 14, 2009",T20
103,Mum Indians,Royals,Royals,2 runs,Durban,"May 14, 2009",T20
104,Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",T20
105,Super Kings,Mum Indians,Super Kings,7 wickets,Port Elizabeth,"May 16, 2009",T20
