Entity,Code,Year,"Railways, passengers carried (passenger-km) (passenger-km)"
Albania,ALB,1980,369000000
Albania,ALB,1981,369000000
Albania,ALB,1982,449000000
Albania,ALB,1983,533000000
Albania,ALB,1984,581000000
Albania,ALB,1985,564000000
Albania,ALB,1986,619000000
Albania,ALB,1987,662000000
Albania,ALB,1988,703000000
Albania,ALB,1989,753000000
Albania,ALB,1990,779000000
Albania,ALB,1991,317000000
Albania,ALB,1992,191000000
Albania,ALB,1993,223000000
Albania,ALB,1994,215000000
Albania,ALB,1995,197000000
Albania,ALB,1996,168000000
Albania,ALB,1997,95000000
Albania,ALB,1998,90000000
Albania,ALB,1999,121000000
Albania,ALB,2000,125000000
Albania,ALB,2001,138000000
Albania,ALB,2002,123000000
Albania,ALB,2003,105000000
Albania,ALB,2004,89000000
Albania,ALB,2005,73000000
Albania,ALB,2006,80000000
Albania,ALB,2007,51000000
Albania,ALB,2008,51000000
Albania,ALB,2009,32000000
Albania,ALB,2010,32000000
Albania,ALB,2011,32000000
Albania,ALB,2012,32000000
Albania,ALB,2013,32000000
Algeria,DZA,1980,2070000000
Algeria,DZA,1981,2156000000
Algeria,DZA,1982,1774000000
Algeria,DZA,1983,1804000000
Algeria,DZA,1984,1835000000
Algeria,DZA,1985,1938000000
Algeria,DZA,1986,2035000000
Algeria,DZA,1987,1972000000
Algeria,DZA,1988,2439000000
Algeria,DZA,1989,2724000000
Algeria,DZA,1990,2991000000
Algeria,DZA,1991,3192000000
Algeria,DZA,1992,2904000000
Algeria,DZA,1993,3010000000
Algeria,DZA,1994,2234000000
Algeria,DZA,1995,1797000000
Algeria,DZA,1996,1826000000
Algeria,DZA,1997,1360000000
Algeria,DZA,1998,1163000000
Algeria,DZA,1999,1069000000
Algeria,DZA,2000,1142000000
Algeria,DZA,2004,950000000
Algeria,DZA,2005,929000000
Algeria,DZA,2006,821000000
Algeria,DZA,2007,821000000
Algeria,DZA,2008,937000000
Algeria,DZA,2009,1141000000
